input_text,output_text
<from_hindi> वह घर जा रहा है,<to_magahi> ऊ घर जा रहल बा
<from_magahi> हम उदास बानी,<to_english> i am sad
<from_english> we are friends,<to_magahi> हमनी दोस्त बानी
<from_hindi> मुझे कॉफी पसंद है,<to_english> i love coffee
<from_magahi> हम खुश बानी,<to_english> i am happy
<from_hindi> वह पढ़ रही है,<to_magahi> ऊ पढ़ रहल बिया
<from_english> she is studying,<to_magahi> ऊ पढ़ रहल बिया
<from_hindi> मैं एआई सीख रहा हूँ,<to_magahi> हम एआई सीख रहल बानी
<from_english> i am sad,<to_hindi> मैं उदास हूँ
<from_english> i love tea,<to_magahi> हम चाय पसंद करीं
<from_english> this is good,<to_hindi> यह अच्छा है
<from_magahi> ई बढ़िया बा,<to_hindi> यह अच्छा है
<from_hindi> यह बुरा है,<to_magahi> ई खराब बा
<from_hindi> वह पढ़ रही है,<to_magahi> ऊ पढ़ रहल बिया
<from_hindi> मैं खुश हूँ,<to_english> i am happy
<from_magahi> हम चाय पसंद करीं,<to_english> i love tea
<from_english> this is bad,<to_magahi> ई खराब बा
<from_hindi> वह घर जा रहा है,<to_magahi> ऊ घर जा रहल बा
<from_hindi> मुझे चाय पसंद है,<to_magahi> हम चाय पसंद करीं
<from_hindi> यह अच्छा है,<to_magahi> ई बढ़िया बा
<from_magahi> ई खराब बा,<to_hindi> यह बुरा है
<from_magahi> हम एआई सीख रहल बानी,<to_english> i am learning ai
<from_magahi> हम एआई सीख रहल बानी,<to_hindi> मैं एआई सीख रहा हूँ
<from_magahi> हम कॉफी पसंद करीं,<to_english> i love coffee
<from_hindi> मुझे कॉफी पसंद है,<to_english> i love coffee
<from_magahi> हम खुश बानी,<to_english> i am happy
<from_english> he is going home,<to_hindi> वह घर जा रहा है
<from_magahi> हम एआई सीख रहल बानी,<to_hindi> मैं एआई सीख रहा हूँ
<from_hindi> मुझे कॉफी पसंद है,<to_english> i love coffee
<from_magahi> हम एआई सीख रहल बानी,<to_english> i am learning ai
<from_hindi> हम दोस्त हैं,<to_magahi> हमनी दोस्त बानी
